country,latitude,longitude,postcode,countryCodeAlpha2,countryCodeAlpha3
USA,32.8488,-79.8577,29422,US,USA
USA,32.7862,-79.9471,29425,US,USA
USA,34.8377,-82.3715,29603,US,USA
USA,34.7641,-83.0883,29675,US,USA
USA,34.006,-80.9708,29219,US,USA
USA,35.0768,-82.1326,29348,US,USA
USA,35.687,-105.9378,87503,US,USA
USA,39.4735,-118.7774,89496,US,USA
USA,36.2083,-115.9839,89041,US,USA
USA,39.5296,-119.8138,89570,US,USA
USA,42.0984,-76.0494,13761,US,USA
USA,42.7421,-76.6285,13139,US,USA
USA,40.7237,-73.7049,11002,US,USA
USA,40.7808,-73.9772,10131,US,USA
USA,40.7611,-73.968,10155,US,USA
USA,40.7543,-73.9798,10175,US,USA
USA,40.7143,-74.006,10260,US,USA
USA,40.7808,-73.9772,10268,US,USA
USA,40.7808,-73.9772,10269,US,USA
USA,43.1019,-75.2312,13503,US,USA
USA,43.0377,-76.1396,13244,US,USA
USA,41.3232,-74.2886,10981,US,USA
USA,41.3726,-73.7601,10542,US,USA
USA,40.6054,-73.7551,11690,US,USA
USA,44.9728,-74.731,13683,US,USA
USA,37.3379,-85.3304,42719,US,USA
USA,32.6076,-93.7526,71102,US,USA
USA,30.413,-91.1715,70893,US,USA
USA,30.2081,-92.0951,70593,US,USA
USA,32.1378,-93.0906,71002,US,USA
USA,30.2752,-89.7812,70469,US,USA
USA,42.3929,-73.2285,01202,US,USA
USA,42.0235,-71.1324,02334,US,USA
USA,42.6112,-71.5745,01470,US,USA
USA,42.3584,-71.0598,02212,US,USA
USA,42.1432,-70.7703,02059,US,USA
USA,42.0834,-71.0184,02304,US,USA
USA,42.0834,-71.0184,02305,US,USA
USA,41.9705,-70.7014,02361,US,USA
USA,42.3389,-70.9196,02283,US,USA
USA,39.6529,-78.7625,21501,US,USA
USA,35.2017,-89.9715,38181,US,USA
USA,35.2017,-89.9715,38186,US,USA
USA,36.4195,-82.304,37699,US,USA
USA,29.4375,-98.4616,78293,US,USA
USA,29.4375,-98.4616,78298,US,USA
USA,29.08,-95.7497,77463,US,USA
USA,33.0198,-96.6989,75026,US,USA
USA,32.7673,-96.7776,75017,US,USA
USA,32.7673,-96.7776,75263,US,USA
USA,32.7673,-96.7776,75326,US,USA
USA,32.7673,-96.7776,75339,US,USA
USA,37.2187,-121.8601,95160,US,USA
USA,37.3383,-121.8801,95192,US,USA
USA,38.3396,-122.7011,94927,US,USA
USA,38.2993,-122.4867,95433,US,USA
USA,34.2694,-118.7815,93094,US,USA
USA,39.7392,-104.9847,80252,US,USA
USA,37.1882,-75.969,23443,US,USA
USA,37.0964,-80.6081,24129,US,USA
USA,37.9472,-76.6154,22570,US,USA
USA,37.4138,-79.1422,24505,US,USA
USA,37.2742,-79.9579,24029,US,USA
USA,37.2692,-79.9399,24043,US,USA
USA,43.6106,-72.9726,05702,US,USA
USA,42.9947,-72.7204,05344,US,USA
USA,43.6735,-72.312,05088,US,USA
USA,47.674,-122.1215,98073,US,USA
USA,47.6157,-122.3445,98141,US,USA
USA,47.2061,-122.4822,98448,US,USA
USA,44.5192,-88.0198,54308,US,USA
USA,43.0696,-89.4239,53794,US,USA
